year,avg_mean_temp,avg_min_temp,avg_max_temp,relative_humidity,precipitation_max,annual_rainfall,agri_land_area,cropland_pct,fertilizer_kg_per_ha,population_density
1950,11.24,6.66,15.71,74.93,88.27,41.29256665704666,40334.66129032258,0.5373480293461278,27.372378234850135,141.57135562946235
1951,11.21,6.53,15.84,74.99,91.14,41.29256665704666,40334.66129032258,0.5373480293461278,27.372378234850135,141.57135562946235
1952,10.84,6.42,15.23,78.17,74.8,41.29256665704666,40334.66129032258,0.5373480293461278,27.372378234850135,141.57135562946235
1953,10.9,6.42,15.38,77.45,102.32,41.29256665704666,40334.66129032258,0.5373480293461278,27.372378234850135,141.57135562946235
1954,11.48,6.71,16.24,70.61,125.67,41.29256665704666,40334.66129032258,0.5373480293461278,27.372378234850135,141.57135562946235
1955,11.68,6.73,16.68,67.32,114.46,41.29256665704666,40334.66129032258,0.5373480293461278,27.372378234850135,141.57135562946235
1956,11.7,6.88,16.6,70.5,73.81,41.29256665704666,40334.66129032258,0.5373480293461278,27.372378234850135,141.57135562946235
1957,11.73,6.54,16.89,67.5,101.2,41.29256665704666,40334.66129032258,0.5373480293461278,27.372378234850135,141.57135562946235
1958,12.74,7.56,17.61,69.5,130.61,41.29256665704666,40334.66129032258,0.5373480293461278,27.372378234850135,141.57135562946235
1959,12.35,7.51,17.12,71.08,70.84,41.29256665704666,40334.66129032258,0.5373480293461278,27.372378234850135,141.57135562946235
1960,12.48,7.18,17.71,67.65,101.05,41.29256665704666,40334.66129032258,0.5373480293461278,27.372378234850135,141.57135562946235
1961,11.65,6.79,16.31,72.02,95.06,41.29256665704666,35530.0,0.174825174825175,0.0825027685492802,72.1566153846154
1962,11.68,6.68,16.38,72.58,123.5,41.29256665704666,35530.0,0.174825174825175,0.238648947951274,73.5742377622378
1963,11.69,6.72,16.92,70.99,125.2,41.29256665704666,35630.0,0.174825174825175,0.347466960352423,75.0336923076923
1964,12.35,6.79,17.79,65.65,107.51,41.29256665704666,35530.0,0.174825174825175,0.565891472868217,76.5481958041958
1965,11.53,6.03,16.73,67.07,93.41,41.29256665704666,35530.0,0.174825174825175,0.6140642303433,78.1357412587413
1966,12.11,6.68,17.3,67.04,114.18,41.29256665704666,35530.0,0.174825174825175,1.88261351052049,79.7811888111888
1967,11.65,6.4,16.46,69.38,107.92,41.29256665704666,35670.0,0.181818181818182,1.456844420011,81.4875244755245
1968,11.51,6.69,16.08,71.09,93.23,41.29256665704666,35670.0,0.181818181818182,1.68719076415613,83.2606013986014
1969,12.13,7.33,16.76,70.94,79.03,41.29256665704666,35670.0,0.181818181818182,2.47663551401869,85.0841678321678
1970,12.33,7.6,16.93,71.07,113.06,41.29256665704666,37020.0,0.188811188811189,2.74398361495136,86.9663636363636
1971,11.76,7.28,16.13,73.98,78.11,41.29256665704666,37020.0,0.188811188811189,4.07987711213518,88.8815454545455
1972,12.19,7.05,17.09,69.23,97.05,41.29256665704666,38220.0,0.188811188811189,5.16593673965937,90.8328601398601
1973,12.25,7.15,17.08,71.22,114.5,41.29256665704666,39530.0,0.195804195804196,5.71501154734411,92.8338391608392
1974,12.21,6.7,17.33,69.99,94.46,41.29256665704666,39940.0,0.195804195804196,5.82385321100917,94.8841608391608
1975,12.29,6.88,17.29,69.24,82.03,41.29256665704666,40090.0,0.195804195804196,5.58542141230068,96.9978671328671
1976,12.33,6.83,17.58,69.92,70.18,41.29256665704666,40250.0,0.202797202797203,6.7316742081448,99.1443986013986
1977,12.54,7.2,17.65,70.98,83.29,41.29256665704666,40400.0,0.202797202797203,7.85033707865169,101.392832167832
1978,12.05,6.76,17.19,71.57,134.29,41.29256665704666,40550.0,0.202797202797203,8.278125,103.774090909091
1979,12.48,6.68,17.51,68.88,96.61,41.29256665704666,40700.0,0.202797202797203,9.29223946784922,106.227902097902
1980,12.42,6.78,17.82,70.19,64.96,41.29256665704666,40850.0,0.202797202797203,9.89383259911894,108.762972027972
1981,11.75,6.33,16.96,72.14,96.48,45.143214898989896,41030.0,0.202797202797203,10.4125874125874,111.345615384615
1982,11.92,6.42,17.15,71.38,72.28,39.566259090909085,41066.0,0.202797202797203,13.6494152557165,113.971937062937
1983,11.71,5.93,17.15,70.37,84.55,43.82490007215007,41102.0,0.202797202797203,16.2513070756361,116.707125874126
1984,12.4,6.8,17.74,69.83,101.0,48.1710836940837,41138.0,0.202797202797203,18.9137811031843,119.477216783217
1985,12.52,7.12,17.59,70.69,84.44,48.791811724386726,41164.0,0.202797202797203,18.8538047255038,122.221622377622
1986,11.95,6.38,17.24,70.32,80.8,42.092564646464645,41320.0,0.202797202797203,19.5364267129228,124.951916083916
1987,12.56,6.98,17.86,69.66,130.35,47.463774025974026,41346.0,0.202797202797203,23.4590405264981,127.625909090909
1988,12.98,7.44,18.21,69.76,106.7,46.31358607503607,41382.0,0.202797202797203,24.3346878782639,130.340286713287
1989,12.13,6.58,17.41,69.35,94.19,42.9498152958153,41408.0,0.202797202797203,29.0840814917127,133.271377622378
1990,12.42,7.13,17.52,72.74,105.3,46.30935898268398,41444.0,0.202797202797203,31.2497845199104,136.535475524476
1991,12.29,6.7,17.59,70.87,71.38,34.74245548340548,41470.0,0.202797202797203,34.8967297762478,140.115384615385
1992,12.19,6.6,17.55,70.38,58.97,28.112668795093793,41582.0,0.265034965034965,35.2352511494006,144.123825174825
1993,12.63,7.44,17.66,73.36,79.95,37.03566024531025,41694.0,0.327272727272727,31.5523899425041,148.113
1994,12.71,7.06,18.0,71.12,63.01,34.68694181096681,41806.0,0.389510489510489,39.8474656154934,151.870482517483
1995,12.53,7.06,17.53,71.93,101.81,31.94488845598846,41918.0,0.451748251748252,40.0902789662844,155.56251048951
1996,12.52,7.12,17.65,72.59,111.26,36.488728643578646,42030.0,0.513986013986014,44.007690664388,159.034
1997,11.55,6.15,16.53,73.31,81.56,33.664492316017316,42142.0,0.576223776223776,45.8656881986518,162.373867132867
1998,12.89,7.83,17.73,73.87,104.19,44.856728715728714,42254.0,0.638461538461538,51.7660091176345,165.596902097902
1999,13.12,7.73,18.18,71.78,104.84,42.960110569985574,42366.0,0.700699300699301,40.1633764465623,168.707685314685
2000,12.3,7.13,17.32,74.0,82.06,49.041706313131314,42491.0,0.761074293686781,31.016992353441,171.234802929892
2001,12.67,7.41,17.77,73.32,87.67,42.19555303030303,42590.0,0.823160097663062,30.7966029723991,174.026843390303
2002,12.44,7.24,17.32,73.44,99.8,43.27064675324675,42410.0,0.837111963725148,16.6809421841542,176.693275200558
2003,12.43,7.28,17.32,73.02,96.89,43.45400108225108,42270.0,0.871991628880363,5.05874730021598,179.203055458668
2004,12.66,7.44,17.65,73.79,94.73,45.73382034632034,42180.0,0.906871294035577,8.02521739130435,181.490449947681
2005,12.68,7.22,17.87,70.98,79.59,36.785216233766235,42020.0,0.927799093128706,3.56885964912281,183.533017091036
2006,13.13,7.79,18.24,71.92,63.29,42.249054906204904,41850.0,0.941750959190792,5.64203539823009,185.318625741193
2007,12.85,7.73,17.76,73.11,102.09,45.81933207070707,41660.0,0.941750959190792,1.60892857142857,186.874726194629
2008,12.73,7.6,17.79,72.55,89.82,45.01459386724387,41520.0,0.976630624346006,1.36486486486486,188.28069061737
2009,13.23,7.7,18.58,69.99,94.43,44.141584054834055,41400.0,1.02546215556331,18.2027272727273,189.557272410185
2010,13.36,8.03,18.6,71.21,110.1,41.166248124098125,41260.0,1.06034182071852,25.0866972477064,190.73562608999
2011,12.51,7.43,17.53,73.36,81.52,45.316506096681096,41266.0,1.17614230903383,35.8098672955102,191.59047087548
2012,12.31,6.81,17.59,70.34,91.69,41.49649588744589,41210.0,1.13409557028253,26.5436949640263,192.081723055459
2013,12.71,7.5,17.66,72.32,83.18,47.031410064935066,41210.0,1.14228601325427,54.8748465693149,192.465964422742
2014,12.51,7.3,17.82,71.9,95.98,44.68232041847042,41210.0,1.23961283571678,68.9652483690816,193.040599930241
2015,12.67,7.73,17.77,73.26,71.47,40.14437038239538,41210.0,1.2637314265783,77.0867835300316,194.095772584583
2016,13.56,8.49,18.91,72.97,92.04,44.97106471861472,41210.0,1.25850366236484,78.9440155842005,195.015430763865
2017,13.24,8.23,18.62,73.82,105.43,39.27223174603174,41210.0,1.29496965469131,70.4015645854131,195.404659923265
2018,12.9,7.94,18.18,72.67,88.42,43.13658185425685,41210.0,0.955821416114405,94.9419097495845,195.882029996512
2019,12.62,7.64,17.86,73.44,103.5,40.68064152236652,41210.0,0.984987792117196,97.0055873700847,198.214607603767
2020,12.47,7.76,17.43,75.18,115.06,46.40892424242424,41210.0,0.938809208231601,115.325540266482,202.068880362749
2021,13.09,8.26,18.18,74.83,90.77,48.831357070707064,41210.0,0.985218695500523,112.610654393996,205.61569584932
2022,13.25,8.48,18.33,75.12,81.49,41.900269877344876,41210.0,1.01151028950122,67.8431755183502,207.292891524241
2023,13.17,8.1,18.43,73.24,71.51,36.619854329004326,40334.66129032258,0.5373480293461278,27.372378234850135,141.57135562946235
2024,12.321081081081081,7.124324324324325,17.366486486486487,71.59405405405404,93.88297297297298,37.76868596681097,40334.66129032258,0.5373480293461278,27.372378234850135,141.57135562946235
2025,12.321081081081081,7.124324324324325,17.366486486486487,71.59405405405404,93.88297297297298,5.913985064935065,40334.66129032258,0.5373480293461278,27.372378234850135,141.57135562946235
